sensor_id,description,unit,info_province,info_municipality,Date,Reading,Temperature
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,26/03/2024 06:00,300,10.5
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,28/12/2023 06:00,299,1.6
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,17/12/2023 00:00,298,3.5
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,02/12/2023 12:00,297,9.4
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,17/11/2023 12:00,296,13.1
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,11/08/2023 06:00,308,19.5
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,27/07/2023 12:00,309,27.2
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,15/07/2023 12:00,310,30.1
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,21/06/2023 06:00,311,19.7
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,15/06/2023 00:00,312,19.6
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,09/06/2023 18:00,313,24.9
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,03/06/2023 18:00,314,20.8
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,29/05/2023 06:00,315,15.3
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,20/05/2023 12:00,316,19.8
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,02/05/2023 06:00,317,13.6
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,20/04/2023 12:00,318,19.2
171169-001-ANA009,Absolute level,masl,GIRONA,OSOR,10/04/2023 18:00,319,18.4
080060-001-ANA01,River level,cm,BARCELONA,ARENYS DE MUNT,02/05/2024 12:00,-1,
080060-001-ANA01,River level,cm,BARCELONA,ARENYS DE MUNT,05/01/2024 18:00,-3,11.1
080060-001-ANA01,River level,cm,BARCELONA,ARENYS DE MUNT,05/01/2024 06:00,-6,10.5
080060-001-ANA01,River level,cm,BARCELONA,ARENYS DE MUNT,27/08/2023 18:00,-2,21.7
080180-005-ANA001,Canal discharge,l/s,BARCELONA,BALSARENY,29/06/2023 18:00,-16,26.7
080180-005-ANA001,Canal discharge,l/s,BARCELONA,BALSARENY,07/06/2023 00:00,-17,18
080180-005-ANA001,Canal discharge,l/s,BARCELONA,BALSARENY,09/05/2023 18:00,-4,25.8
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,02/05/2024 18:00,-499,
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,01/05/2024 18:00,-498,17.2
080180-005-ANA002,Canal discharge,l/s,BARCELONA,BALSARENY,01/05/2024 12:00,-495,17.8
